UID,Location name,Google address,Average star rating,Web link,Price range (single occupancy),Est. driving distance from 9500 Lagersfield Cir (mi),Sub-$5k private starting rate?,Contact person,Phone,Email,Contact source,Web form link,Called,Date contacted,Quoted monthly price,Medication fee,Waitlist,Notes,Published info source,,
AL-0034,Sunrise at Silas Burke House,"9619 Burke Lake Road, Burke, VA 22015",5,https://www.sunriseseniorliving.com/communities/va/sunrise-at-silas-burke-house,"Studio $4,500+/mo base. Fresh meals included; medication management available. Care level and medication-management fees are additional.",15,Yes,,571-290-4970,,https://www.sunriseseniorliving.com/communities/va/sunrise-at-silas-burke-house,https://www.sunriseseniorliving.com/communities/va/sunrise-at-silas-burke-house,,,"Published: $4,400+/mo base",Priced separately from care level; amount not published,Limited availability,"Base cost includes fresh meals, activities, housekeeping, laundry, trash removal, safety alert system and program transportation.",https://www.sunriseseniorliving.com/communities/va/sunrise-at-silas-burke-house,,
AL-0009,Willow Oaks Assisted Living at Birmingham Green,"8595 Centreville Rd, Manassas, VA 20111",4.7,https://www.miradorliving.com/assisted-living/virginia/manassas/willow-oaks-assisted-living-at-birmingham-green,"1BR approx. $7,696+/mo; medication management and restaurant-style meals listed. Studio excluded (approx. $8,338).",16,No,,703-257-6264,info@birminghamgreen.org,https://birminghamgreen.org/admissions/,https://birminghamgreen.org/contact-us/,,,,Medication management is included as an assisted-living service; separate fee not published,,Willow Oaks serves financially eligible residents and is connected to Virginia's Auxiliary Grant program. Admission requires assessment/eligibility review.,https://birminghamgreen.org/services/assisted-living/ | https://birminghamgreen.org/admissions/,,
AL-0035,Sunrise of Alexandria,"3520 Duke Street, Alexandria, VA 22304",4.2,https://www.sunriseseniorliving.com/communities/va/sunrise-of-alexandria,"1BR $3,400+/mo; studio $3,500+/mo; 2BR $4,700+/mo base. Meals included; medication management available but care/medication fees are additional.",17,Yes,,703-348-1022,,https://www.sunriseseniorliving.com/communities/va/sunrise-of-alexandria,https://www.sunriseseniorliving.com/communities/va/sunrise-of-alexandria,,,"Published: $3,400+/mo base",Priced separately from care level; amount not published,Limited availability,Base room rate excludes assessed care. Medication management is an assisted-living service.,https://www.sunriseseniorliving.com/communities/va/sunrise-of-alexandria,,
AL-0010,Brookdale Potomac,"11215 Seven Locks Rd, Potomac, MD 20854",5,https://www.brookdale.com/en/communities/brookdale-potomac.html,"Private assisted-living apartment $5,740+/mo base; dining included and managing medications offered. Personalized care fees extra; confirm total <= $8k.",18,No,,301-765-9198,,https://www.brookdale.com/en/communities/brookdale-potomac.html,https://www.brookdale.com/en/communities/brookdale-potomac.html,,,"Published: private Assisted Living apartment $5,740+/mo base (site pricing dated 09/21/2026)",Medication management available through personalized care; fee not published,,Published base price excludes care costs and other fees. Dining and housekeeping are included.,https://www.brookdale.com/en/communities/brookdale-potomac.html,,
AL-0011,Brightview West End,"285 N Washington St, Rockville, MD 20850",4.7,https://www.brightviewseniorliving.com/find-a-community/brightview-west-end,"Suite approx. $5,200+/mo; medication management and meal service listed. Confirm current assisted-living quote <= $8k.",18,No,,240-866-2524,,https://www.brightviewseniorliving.com/find-a-community/brightview-west-end,https://www.brightviewseniorliving.com/find-a-community/brightview-west-end/pricing,,,,No separate medication fee published; assistance taking medications is included within assisted-living services,,Assisted Living rate includes 5 hours of personal care per week and three chef-prepared meals per day. Price amount is gated behind the official pricing form.,https://www.brightviewseniorliving.com/find-a-community/brightview-west-end/pricing,,
AL-0012,Arbor Terrace Sudley Manor,"7750 Garner Dr, Manassas, VA 20109",5,https://www.arborcompany.com/locations/virginia/manassas-sudley-manor,"Assisted Living apartments start at $4,260/mo. Official site states medication management is part of assisted-living support; care-level/medication surcharge is not separately published.",18,Yes,,703-392-9797,,https://www.arborcompany.com/locations/virginia/manassas-sudley-manor,https://www.arborcompany.com/locations/virginia/manassas-sudley-manor/contact-us,,,"Published: Assisted Living apartments start at $4,260/mo",Not separately published; medication management is offered as part of assisted-living support,,"Qualifying assisted-living option. Official site lists medication management, 24/7 support, dining, housekeeping/linen services and scheduled transportation.",https://www.arborcompany.com/locations/virginia/manassas-sudley-manor | https://www.arborcompany.com/locations/virginia/manassas-sudley-manor/dining,,
AL-0036,Sunrise of Springfield,"6541 Franconia Road, Springfield, VA 22150",4.1,https://www.sunriseseniorliving.com/communities/va/sunrise-of-springfield,"Studio $3,100+/mo; 1BR $3,400+/mo; 2BR $4,300+/mo base. Three meals/day included; medication management available but priced separately with assessed care.",18,Yes,,703-996-4624,,https://www.sunriseseniorliving.com/communities/va/sunrise-of-springfield,https://www.sunriseseniorliving.com/communities/va/sunrise-of-springfield,,,"Published: studio $3,100+/mo; 1BR $3,400+/mo; 2BR $4,300+/mo base",Priced separately from care level; amount not published,Limited availability,"Base monthly cost includes fresh meals, activities, housekeeping, laundry, trash removal, safety alert system and program transportation.",https://www.sunriseseniorliving.com/communities/va/sunrise-of-springfield,,
AL-0013,Paul Spring Retirement Community,"7116 Fort Hunt Rd, Alexandria, VA 22307",4.7,https://www.miradorliving.com/assisted-living/virginia/alexandria/paul-spring-retirement-community,"Approx. $7,015+/mo 1BR; $7,599+/mo studio; medication management and meals listed. Confirm final care quote <= $8k.",19,No,,703-768-0234,Anne-Michele.Maher@rui.net,https://www.rui.net/our-locations/,https://www.rui.net/location/contact-us/,,,,,,RUI's official locations page identifies Paul Spring and provides a Book a Tour path; community-specific pricing is not publicly posted.,https://www.rui.net/our-locations/ | https://www.rui.net/location/contact-us/,,
AL-0014,Evermore Senior Living,"4358 Prince William Pkwy, Woodbridge, VA 22192",5,https://www.miradorliving.com/assisted-living/virginia/woodbridge/evermore-senior-living,"Suite approx. $6,000+/mo; medication management and meal preparation/service listed. Confirm current total <= $8k.",20,No,,703-249-9128,Customercare@evermoreseniorliving.com,https://evermoreseniorliving.com/contact/,https://evermoreseniorliving.com/contact/,,,,,,"Official site describes private bedroom suites, an onsite chef, and a 4:1 resident-to-caregiver ratio; public pricing not posted.",https://evermoreseniorliving.com/ | https://evermoreseniorliving.com/contact/,,
AL-0015,Tribute at the Glen,"4151 Old Bridge Rd, Woodbridge, VA 22192",4.6,https://www.miradorliving.com/assisted-living/virginia/woodbridge/tribute-at-the-glen,"1BR approx. $4,500+/mo; medication management and restaurant-style meals listed. Confirm current assessed-care total <= $8k.",20,Yes,Vincent Fontana (Sales Counselor),571-624-1677,gcrutcher@atlasseniorliving.com,https://atlasseniorliving.com/tribute-at-the-glen/,https://atlasseniorliving.com/tribute-at-the-glen/map-directions/,,,,Medication oversight/reminders offered; separate fee not published,,Official community contact form is available; current community-specific assisted-living price is not publicly posted on the official site.,https://atlasseniorliving.com/tribute-at-the-glen/map-directions/ | https://atlasseniorliving.com/tribute-at-the-glen/our-leadership-team/,,
AL-0016,Brookdale Lake Ridge,"3940 Prince William Pkwy, Woodbridge, VA 22192",4.7,https://www.brookdale.com/en/communities/brookdale-lake-ridge.html,"Private assisted-living apartment $5,445+/mo base; dining included and managing medications offered. Care fees extra; confirm total <= $8k.",21,No,,703-680-0600,,https://www.brookdale.com/en/communities/brookdale-lake-ridge.html,https://www.brookdale.com/en/communities/brookdale-lake-ridge.html,,,"Published: private Assisted Living apartment $5,445+/mo base (site pricing dated 09/21/2026)",Medication management available through personalized care; fee not published,,Published base price excludes care costs and other fees. Dining and housekeeping are included.,https://www.brookdale.com/en/communities/brookdale-lake-ridge.html,,
AL-0037,Harmony at Spring Hill,"8350 Mountain Larkspur Drive, Lorton, VA 22079",4.2,https://www.harmonyseniorservices.com/community/harmony-at-spring-hill/,"Assisted Living apartments start at $3,900/mo. Chef-prepared meals are included; medication assistance/management is available through assisted-living care services. Confirm assessed all-in total.",24,Yes,,571-348-4970,,https://www.harmonyseniorservices.com/community/harmony-at-spring-hill/,https://www.harmonyseniorservices.com/community/harmony-at-spring-hill/contact-us/,,,"Published: Assisted Living apartments start at $3,900/mo",Medication management may be part of assessed care; separate fee not published,,No buy-in fee; care is personalized. Chef-prepared meals are part of community services.,https://www.harmonyseniorservices.com/community/harmony-at-spring-hill/floor-plans/ | https://www.harmonyseniorservices.com/community/harmony-at-spring-hill/contact-us/,,
AL-0041,Arbor Terrace Prince William Commons,"14080 Central Loop, Woodbridge, VA 22193",4.9,https://www.arborcompany.com/locations/virginia/prince-william-commons,"Assisted Living apartments start at $4,730/mo. Chef-prepared dining is included; medication management and 24/7 licensed nursing support are offered. Final monthly cost depends on apartment and assessed level of care.",24,Yes,Michaela Burnett (Community Sales Director),703-721-8801,,https://www.arborcompany.com/locations/virginia/prince-william-commons/about,https://www.arborcompany.com/locations/virginia/prince-william-commons/contact-us,,,"Published: Assisted Living apartments start at $4,730/mo",Not separately published; total cost varies by assessed level of care,,"Qualifying assisted-living option. Official site lists medication management, chef-prepared dining, licensed nurses on-site 24/7, housekeeping/laundry, transportation, and no entrance fee.",https://www.arborcompany.com/locations/virginia/prince-william-commons | https://www.arborcompany.com/locations/virginia/prince-william-commons/assisted-living | https://www.arborcompany.com/locations/virginia/prince-william-commons/about,,
AL-0017,Bedford Court,"3701 International Drive, Silver Spring, MD 20906",3.7,https://www.sunriseseniorliving.com/communities/md/bedford-court,"Assisted-living studio approx. $7,418+/mo; medication management available and dining provided. Care fees may be extra; confirm all-in <= $8k.",25,No,,240-681-2022,,https://www.sunriseseniorliving.com/communities/md/bedford-court,https://www.sunriseseniorliving.com/communities/md/bedford-court,,,"Published: room rates start at $3,500/mo (site-wide starting rate; assisted-living-specific starting rate not separately stated)",Medication management available; care rates are additional and amount is not published,,Official page states room rates are subject to availability and excludes care rates unless otherwise stated.,https://www.sunriseseniorliving.com/communities/md/bedford-court,,
AL-0018,Bright Hands Assisted Living,"14109 Burning Bush Ln, Silver Spring, MD 20906",N/A,https://brighthandsmd.com/,"From $5,000/mo all-inclusive private room; 3 meals/day, medication administration, 24/7 care, housekeeping and routine personal care included.",25,No,Nimmi Perera (Owner & Care Manager),301-871-1021,brighthandsassistedliving@gmail.com,https://brighthandsmd.com/locations,https://brighthandsmd.com/contact,,,"Published: from $5,000/mo all-inclusive; final rate after care assessment",Included - no separate monthly medication-management add-on,,"Private room, three meals/day, medication management, 24-hour awake care, ADL support, housekeeping and laundry included.",https://brighthandsmd.com/pricing | https://brighthandsmd.com/contact,,
AL-0038,Sunrise at Mount Vernon,"8033 Holland Road, Alexandria, VA 22306",3.7,https://www.sunriseseniorliving.com/communities/va/sunrise-at-mount-vernon,"Studio $4,900+/mo base. Meals included; medication management available, with care level and medication-management fees charged separately.",25,Yes,,703-996-4570,,https://www.sunriseseniorliving.com/communities/va/sunrise-at-mount-vernon,https://www.sunriseseniorliving.com/communities/va/sunrise-at-mount-vernon,,,"Published: studio $4,900+/mo base; 2BR $5,400+/mo base",Priced separately from care level; amount not published,Limited availability,Base room rate excludes assessed care; medication management is an assisted-living service.,https://www.sunriseseniorliving.com/communities/va/sunrise-at-mount-vernon,,
AL-0039,Potomac Place Assisted Living and Memory Care,"2133 Montgomery Ave, Woodbridge, VA 22191",4.2,https://www.potomacplace.com/,"1BR estimated $4,800+/mo; studio estimated $5,200+/mo. Medication management and restaurant-style meals listed; published third-party pricing is an estimate, so confirm current private-room rate.",26,Yes,,703-494-3817,,https://www.potomacplace.com/,https://www.potomacplace.com/visit/,,,,Medication reminders/support are offered; separate fee not published,,Official site does not publish a current monthly assisted-living price; it directs families to request a custom estimate.,https://www.potomacplace.com/care-wellness/assisted-living/ | https://www.potomacplace.com/visit/,,
AL-0019,Bright Hands Assisted Living II,"9720 Breckenridge Pl, Montgomery Village, MD 20886",N/A,https://brighthandsmd.com/,"From $5,000/mo all-inclusive private room; 3 meals/day, medication administration, 24/7 care, housekeeping and routine personal care included.",29,No,Nimmi Perera (Owner & Care Manager),301-869-8202,brighthandsassistedliving@gmail.com,https://brighthandsmd.com/locations,https://brighthandsmd.com/contact,,,"Published: from $5,000/mo all-inclusive; final rate after care assessment",Included - no separate monthly medication-management add-on,,Montgomery Village home is listed as open with five private rooms; same all-inclusive care model as the Silver Spring home.,https://brighthandsmd.com/pricing | https://brighthandsmd.com/locations | https://brighthandsmd.com/contact,,
AL-0020,Spring Oak at Warrenton,"239 Alexandria Pike, Warrenton, VA 20186",4.4,https://www.springoakliving.com/warrenton,"Assisted living from $5,875/mo; studios and 1BRs available, meals included. Confirm medication-management package and all-in total <= $8k.",33,No,,540-347-6000,warrenton@springoakliving.com,https://www.springoakliving.com/contact,https://www.springoakliving.com/contact,,,"Published: starts at $5,875/mo",,,Official site lists Assisted Living and Short Term Care at the Warrenton community.,https://www.springoakliving.com/contact,,
AL-0021,VIVA Senior Living at Stafford,"30 Kings Crest Dr, Stafford, VA 22554",4.6,https://www.vivaseniorliving.com/stafford,"Private assisted-living suite $6,000+/mo base; medication management and farm-to-table dining offered. Additional care fees apply; confirm total <= $8k.",39,No,,540-288-9353,,https://www.vivaseniorliving.com/stafford,https://www.vivaseniorliving.com/contact-us,,,"Published: private Assisted Living suite $6,000+/mo; companion $4,300+/mo",Medication management offered; additional care is not included in published room price,,Private-suite price is the relevant single-occupancy rate. Farm-to-table dining is listed among community services.,https://www.vivaseniorliving.com/stafford | https://www.vivaseniorliving.com/contact-us,,
AL-0022,Edenton Retirement Community,"5800 Genesis Ln, Frederick, MD 21703",4.3,https://www.mylivingchoice.com/property/edenton-retirement-community,"Assisted-living studio approx. $6,050-$6,150 base + $1,050-$1,650 care = approx. $7,100-$7,800/mo; medication management listed.",44,No,Jennifer (availability contact; last name not published),301-694-3100,info@edentonfrederick.com,https://edentonfrederick.com/assisted-living/,,,,"Published: studio $6,050-$6,150/mo + assessed care level $1,050-$1,650/mo","Medication administration included within assessed care level; care level costs $1,050-$1,650/mo",,"One-time community fee $3,000. Room/all meals/snacks/housekeeping/laundry plus personal care are described in the assisted-living package.",https://edentonfrederick.com/assisted-living/,,
AL-0023,Spring Arbor of Frederick,"6601 English Muffin Way, Frederick, MD 21703",4.7,https://www.springarborliving.com/md/frederick/spring-arbor-of-frederick/,"Private studio $6,947/mo; 1BR alcove $7,872/mo. Standard 1BR excluded ($8,121). 3 meals/day and medication management offered.",44,No,,240-290-4762,frdkreception@springarborliving.com,https://www.allegroliving.com/communities/frederick,https://www.springarborliving.com/md/frederick/spring-arbor-of-frederick/contactus,,,"Published: private Assisted Living studio $6,947/mo; 1BR alcove $7,872/mo",,Official availability page currently shows assisted-living units as waitlist / Add to Waitlist,Three meals per day plus snacks are listed among community amenities.,https://www.springarborliving.com/md/frederick/spring-arbor-of-frederick/default | https://www.springarborliving.com/md/frederick/spring-arbor-of-frederick/contactus,,
AL-0024,Stern Life Assisted Living - Walnut Street,"903 Walnut St, Frederick, MD 21703",N/A,https://sternlifeassistedliving.com/,"From $5,000/mo; rate includes medication administration, 3 meals/day, 24/7 supervision and personal care. Confirm private-room rate and final total <= $8k.",45,No,"Rebecca Yeboah, BSN (Assisted Living Manager)",240-610-3769,enquiries@sternlifeassistedliving.com,https://sternlifeassistedliving.com/,https://sternlifeassistedliving.com/,,,"Published: Walnut Street from $5,000/mo",Included in monthly rate,,"Monthly rate includes medication administration, three meals plus snacks, 24-hour supervision, ADL help, housekeeping and laundry.",https://sternlifeassistedliving.com/,,
AL-0025,Stern Life Assisted Living - Thames Drive,"228 Thames Dr, Frederick, MD 21702",5,https://sternlifeassistedliving.com/,"Private room approx. $5,000-$6,500/mo; higher care from +$1,000. Medication administration and 3 meals/day included; confirm final total <= $8k.",47,No,"Rebecca Yeboah, BSN (Assisted Living Manager)",240-610-3769,enquiries@sternlifeassistedliving.com,https://sternlifeassistedliving.com/,https://sternlifeassistedliving.com/,,,"Published: Thames Drive from $4,500/mo",Included in monthly rate,,"Monthly rate includes medication administration, three meals plus snacks, 24-hour supervision, ADL help, housekeeping and laundry.",https://sternlifeassistedliving.com/,,
AL-0026,Charter Senior Living of Fredericksburg,"20 Heartfields Ln, Falmouth, VA 22405",4.8,https://www.charterfredericksburg.com/floor-plans/,"Private studio $4,995+/mo; 1BR $7,495+/mo; 3 meals/day and medication management listed. Higher-priced private studio estimates excluded.",49,Yes,,540-409-4529,,https://www.charterfredericksburg.com/contact-us/,https://www.charterfredericksburg.com/contact-us/,,,"Published: private Assisted Living studio $4,995+/mo; 1BR $7,495+/mo",,,"Official site lists three meals/day, housekeeping, laundry, utilities and 24/7 assistance among assisted-living services.",https://www.charterfredericksburg.com/floor-plans/ | https://www.charterfredericksburg.com/contact-us/,,
AL-0027,Our Father's House Christian Home,"15261 Jubilee Rd, Culpeper, VA 22701",N/A,https://www.miradorliving.com/assisted-living/virginia/culpeper/our-fathers-house-christian-home,"1BR approx. $6,494+/mo; medication management and restaurant-style meal service listed. Confirm current total <= $8k.",55,No,,540-727-8292,ofhbender@gmail.com,https://www.ofhch.com/contact-us,https://www.ofhch.com/contact-us,,,,,,"Official site asks families to contact the community for assisted-living pricing; published $2,000 figure is for retirement cottages, not assisted living.",https://www.ofhch.com/ | https://www.ofhch.com/contact-us,,
AL-0028,Shenandoah Senior Living,"103 Lee Burke Rd, Front Royal, VA 22630",4.7,https://www.miradorliving.com/assisted-living/virginia/front-royal/shenandoah-senior-living,"1BR approx. $6,067+/mo; studio approx. $6,572+/mo; medication management and restaurant-style meals listed.",55,No,,540-291-7721,Marketing@ShenandoahSL.com,https://royalexaminer.com/directory/,,,,,,,No current official community website/form was reliably accessible during this pass; new official-data fields left blank.,,,
AL-0029,Commonwealth Senior Living at Front Royal,"600 Mount View St, Front Royal, VA 22630",4.9,https://www.commonwealthsl.com/commonwealth-senior-living-at-front-royal,"Suite $235/day (~$7,050/mo); deluxe suite $248/day (~$7,440); 1BR $264/day (~$7,920), incl. Level 1 care. Higher care may exceed $8k.",56,No,,540-551-7041,frontroyal@commonwealthsl.com,https://www.commonwealthsl.com/commonwealth-senior-living-at-front-royal,https://www.commonwealthsl.com/commonwealth-senior-living-at-front-royal,,,"Published: private Assisted Living suite $235/day (~$7,050 per 30 days); deluxe suite $248/day (~$7,440); 1BR $264/day (~$7,920)","Level 1 care included in published room price; additional care services extra, medication-specific fee not published",,Official floor-plan page states displayed prices include Level 1 care.,https://www.commonwealthsl.com/commonwealth-senior-living-at-front-royal/floor-plans,,
AL-0030,The Village at Orchard Ridge,"400 Clocktower Ridge Dr, Winchester, VA 22603",4.4,https://www.thevillageatorchardridge.org/assisted-living-community-winchester-va,"Assisted living estimated from about $5,016/mo; private 1BR-style apartments, meals and medication management listed. Confirm current quote <= $8k.",62,No,,540-503-3629,,https://www.thevillageatorchardridge.org/request-info/,https://www.thevillageatorchardridge.org/request-info/,,,,,,Official request-information form is available. Current assisted-living monthly pricing was not clearly published on the current official page.,https://www.thevillageatorchardridge.org/request-info/,,
AL-0031,Harmony at Martinsburg,"13857 Apple Harvest Dr, Martinsburg, WV 25403",4.6,https://www.harmonyseniorservices.com/community/harmony-at-martinsburg/assisted-living/,"Assisted living from $4,520-$4,600/mo base; chef-prepared meals included, medication management available via care level. Confirm all-in total <= $8k.",63,Yes,,304-596-0783,,https://www.harmonyseniorservices.com/community/harmony-at-martinsburg/,https://www.harmonyseniorservices.com/community/harmony-at-martinsburg/contact-us/,,,"Published: Assisted Living starts at $4,520/mo",Medication management may be included through assessed care level; separate fee not published,,"Pricing is made up of rent plus care. Base rent includes chef-prepared meals, housekeeping, laundry, maintenance and 24-hour staff support.",https://www.harmonyseniorservices.com/community/harmony-at-martinsburg/assisted-living/ | https://www.harmonyseniorservices.com/community/harmony-at-martinsburg/contact-us/,,
AL-0032,Celebration Villa of Martinsburg,"200 Gloucester Dr, Martinsburg, WV 25401",4.2,https://celebrationvillaofmartinsburg.com/floor-plans-pricing/,"Small studio $6,550+/mo; large studio $7,050+/mo; 3 chef-prepared meals/day and medication-management support available. Shared $8,550 option excluded.",64,No,,304-267-5800,,https://celebrationvillaofmartinsburg.com/,https://celebrationvillaofmartinsburg.com/contact-us/,,,"Published: private small studio $6,650/mo; large studio $7,150/mo",,,Official site notes limited-time pricing opportunities may be available.,https://celebrationvillaofmartinsburg.com/floor-plans-pricing/ | https://celebrationvillaofmartinsburg.com/contact-us/,,
,,,,,,,,,,,,,,,,,,,,,
